slug,name,long
mt-st-vincent,Mt. St. Vincent,University of Mount Saint Vincent
muhlenberg,Muhlenberg,Muhlenberg College
murray-st,Murray St.,Murray State University
muskingum,Muskingum,Muskingum University
navy,Navy,U.S. Naval Academy
nazareth,Nazareth,Nazareth College
nc-at,North Carolina A&T,North Carolina A&T State University
nc-central,North Carolina Central,North Carolina Central University
nc-wesleyan,North Carolina Wesleyan,North Carolina Wesleyan College
neb-kearney,Neb.-Kearney,University of Nebraska-Kearney
neb-omaha,Omaha,University of Nebraska-Omaha
neb-wesleyan,Neb. Wesleyan,Nebraska Wesleyan University
nebraska,Nebraska,University of Nebraska-Lincoln
neumann,Neumann,Neumann University
nevada,Nevada,University of Nevada
new-england-col,New England Col.,New England College
new-hampshire,New Hampshire,University of New Hampshire
new-haven,New Haven,University of New Haven
new-jersey-city,New Jersey City,New Jersey City University
new-mexico,New Mexico,University of New Mexico
new-mexico-st,New Mexico St.,New Mexico State University
new-orleans,New Orleans,University of New Orleans
new-rochelle,New Rochelle,College of New Rochelle
new-york-u,New York U.,New York University
newberry,Newberry,Newberry College
newbury,Newbury,Newbury College
newman,Newman,Newman University
niagara,Niagara,Niagara University
nicholls-st,Nicholls St.,Nicholls State University
nichols,Nichols,Nichols College
njit,New-Jersey-Tech,New Jersey Institute of Technology
nm-highlands,New-Mexico-Highlands,New Mexico Highlands University
norfolk-st,Norfolk St.,Norfolk State University
north-ala,North Ala.,University of North Alabama
north-carolina,North Carolina,University of North Carolina
north-carolina-st,North Carolina St.,North Carolina State University
north-central-il,North Central (IL),North Central College
